"subject" "activitiName" "instrument" "acceleration" "magnitude" "jerk" "variable" "average"
1 "STANDING" "accelerometer" "body" "magnitude" "NA" "mean" -0.984817284245283
1 "STANDING" "accelerometer" "body" "magnitude" "NA" "std" -0.982128366792453
1 "STANDING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.992455134056604
1 "STANDING" "accelerometer" "body" "magnitude" "jerk" "std" -0.992816106415094
1 "STANDING" "accelerometer" "gravity" "NA" "NA" "mean" 0.227819583478616
1 "STANDING" "accelerometer" "gravity" "NA" "NA" "std" -0.983771002201258
1 "STANDING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.984278207358491
1 "STANDING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.981942928867925
1 "STANDING" "gyroscope" "NA" "NA" "NA" "mean" -0.49412142824934
1 "STANDING" "gyroscope" "NA" "NA" "NA" "std" -0.985420366666667
1 "STANDING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0642075157899371
1 "STANDING" "gyroscope" "NA" "NA" "jerk" "std" -0.993397163836478
1 "STANDING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.980555708113208
1 "STANDING" "gyroscope" "NA" "magnitude" "NA" "std" -0.978578050377358
1 "STANDING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.994891083773585
1 "STANDING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.994702180943396
1 "WALKING" "accelerometer" "body" "NA" "NA" "mean" -0.0493071435085965
1 "WALKING" "accelerometer" "body" "NA" "NA" "std" -0.162014714755491
1 "WALKING" "accelerometer" "body" "NA" "jerk" "mean" -0.0961043960946509
1 "WALKING" "accelerometer" "body" "NA" "jerk" "std" -0.185145513300842
1 "WALKING" "accelerometer" "body" "magnitude" "NA" "mean" -0.132797313593158
1 "WALKING" "accelerometer" "body" "magnitude" "NA" "std" -0.308860616236842
1 "WALKING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.0992741045329474
1 "WALKING" "accelerometer" "body" "magnitude" "jerk" "std" -0.0889820765323158
1 "WALKING" "accelerometer" "gravity" "NA" "NA" "mean" 0.194985105403509
1 "WALKING" "accelerometer" "gravity" "NA" "NA" "std" -0.965210943368421
1 "WALKING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.136971176556842
1 "WALKING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.219688645631579
1 "WALKING" "gyroscope" "NA" "NA" "NA" "mean" -0.120741457716614
1 "WALKING" "gyroscope" "NA" "NA" "NA" "std" -0.309862035004474
1 "WALKING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0586571142729825
1 "WALKING" "gyroscope" "NA" "NA" "jerk" "std" -0.305381939340351
1 "WALKING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.180116060761579
1 "WALKING" "gyroscope" "NA" "magnitude" "NA" "std" -0.253998159210526
1 "WALKING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.309006136431579
1 "WALKING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.353463395342105
1 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "NA" "mean" -0.00234862596952381
1 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "NA" "std" -0.103149268968806
1 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "jerk" "mean" -0.0619719947438776
1 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "jerk" "std" -0.180374942219286
1 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "NA" "mean" 0.0618864128573469
1 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "NA" "std" -0.0833229752234694
1 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "jerk" "mean" -0.0316144929326531
1 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "jerk" "std" -0.0649199902173469
1 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "NA" "NA" "mean" 0.201048040468707
1 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "NA" "NA" "std" -0.927839388571429
1 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "mean" 0.0271882914106122
1 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "std" 0.0198843506265306
1 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "NA" "mean" -0.0793252693578231
1 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "NA" "std" -0.270727162030952
1 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "jerk" "mean" -0.04833186269
1 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "jerk" "std" -0.331537883339456
1 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "NA" "mean" -0.130730770056122
1 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "NA" "std" -0.312037379091837
1 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.288713601262245
1 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "std" -0.349215261071429
1 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "NA" "mean" -0.149073611462296
1 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "NA" "std" -0.101034942099371
1 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "jerk" "mean" -0.250582949089937
1 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "jerk" "std" -0.516906022767296
1 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "NA" "mean" -0.241161787726415
1 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "NA" "std" -0.370615515377358
1 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "jerk" "mean" -0.454577804339623
1 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "jerk" "std" -0.506025737924528
1 "WALKING_UPSTAIRS" "accelerometer" "gravity" "NA" "NA" "mean" 0.15193159781761
1 "WALKING_UPSTAIRS" "accelerometer" "gravity" "NA" "NA" "std" -0.940531890503145
1 "WALKING_UPSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.129927630735849
1 "WALKING_UPSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "std" -0.324970929245283
1 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "NA" "mean" -0.220490763155975
1 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "NA" "std" -0.338999336804088
1 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "jerk" "mean" -0.0683646364092453
1 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "jerk" "std" -0.607605055660377
1 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "NA" "mean" -0.226348523683019
1 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "NA" "std" -0.165802418158491
1 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.614773973584906
1 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "std" -0.671241782924528
2 "LAYING" "accelerometer" "body" "NA" "NA" "mean" -0.464156310966667
2 "LAYING" "accelerometer" "body" "NA" "NA" "std" -0.979605655520833
2 "LAYING" "accelerometer" "body" "NA" "jerk" "mean" -0.476954937528507
2 "LAYING" "accelerometer" "body" "NA" "jerk" "std" -0.986511623611111
2 "LAYING" "accelerometer" "body" "magnitude" "NA" "mean" -0.976272840833333
2 "LAYING" "accelerometer" "body" "magnitude" "NA" "std" -0.973997650416667
2 "LAYING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.986557905416667
2 "LAYING" "accelerometer" "body" "magnitude" "jerk" "std" -0.985043282708333
2 "LAYING" "accelerometer" "gravity" "NA" "NA" "mean" 0.296539093611111
2 "LAYING" "accelerometer" "gravity" "NA" "NA" "std" -0.977152241597222
2 "LAYING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.977435485208333
2 "LAYING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.972873912916667
2 "LAYING" "gyroscope" "NA" "NA" "NA" "mean" -0.486303208440972
2 "LAYING" "gyroscope" "NA" "NA" "NA" "std" -0.977469821145833
2 "LAYING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0693371513
2 "LAYING" "gyroscope" "NA" "NA" "jerk" "std" -0.990279736111111
2 "LAYING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.961062271145833
2 "LAYING" "gyroscope" "NA" "magnitude" "NA" "std" -0.961131216354167
2 "LAYING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.991007888229167
2 "LAYING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.9896053778125
2 "SITTING" "accelerometer" "body" "NA" "NA" "mean" -0.460188071030797
2 "SITTING" "accelerometer" "body" "NA" "NA" "std" -0.965275609782609
2 "SITTING" "accelerometer" "body" "NA" "jerk" "mean" -0.476426697931775
2 "SITTING" "accelerometer" "body" "NA" "jerk" "std" -0.985398693550725
2 "SITTING" "accelerometer" "body" "magnitude" "NA" "mean" -0.964583686086957
2 "SITTING" "accelerometer" "body" "magnitude" "NA" "std" -0.954328523152174
2 "SITTING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.985324705978261
2 "SITTING" "accelerometer" "body" "magnitude" "jerk" "std" -0.984300026956522
2 "SITTING" "accelerometer" "gravity" "NA" "NA" "mean" 0.344524672435188
2 "SITTING" "accelerometer" "gravity" "NA" "NA" "std" -0.963718302318841
2 "SITTING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.967893623913043
2 "SITTING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.953081444130435
2 "SITTING" "gyroscope" "NA" "NA" "NA" "mean" -0.498118121863768
2 "SITTING" "gyroscope" "NA" "NA" "NA" "std" -0.975358768913044
2 "SITTING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0595927136152174
2 "SITTING" "gyroscope" "NA" "NA" "jerk" "std" -0.988713654492754
2 "SITTING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.958937841630435
2 "SITTING" "gyroscope" "NA" "magnitude" "NA" "std" -0.961349684673913
2 "SITTING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.990471722391304
2 "SITTING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.98961391423913
2 "STANDING" "accelerometer" "body" "NA" "NA" "mean" -0.45878458730216
2 "STANDING" "accelerometer" "body" "NA" "NA" "std" -0.964619604228395
2 "STANDING" "accelerometer" "body" "NA" "jerk" "mean" -0.475813880482531
2 "STANDING" "accelerometer" "body" "NA" "jerk" "std" -0.979352445277778
2 "STANDING" "accelerometer" "body" "magnitude" "NA" "mean" -0.964963673888889
2 "STANDING" "accelerometer" "body" "magnitude" "NA" "std" -0.959197173240741
2 "STANDING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.978777186481481
2 "STANDING" "accelerometer" "body" "magnitude" "jerk" "std" -0.975917870092593
2 "STANDING" "accelerometer" "gravity" "NA" "NA" "mean" 0.218871010407407
2 "STANDING" "accelerometer" "gravity" "NA" "NA" "std" -0.968935772592593
2 "STANDING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.965875181296296
2 "STANDING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.957874965
2 "STANDING" "gyroscope" "NA" "NA" "NA" "mean" -0.486384639482253
2 "STANDING" "gyroscope" "NA" "NA" "NA" "std" -0.970845966481481
2 "STANDING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0674860197895062
2 "STANDING" "gyroscope" "NA" "NA" "jerk" "std" -0.978793792530864
2 "STANDING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.962621123333333
2 "STANDING" "gyroscope" "NA" "magnitude" "NA" "std" -0.955366053055556
2 "STANDING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.980900865833333
2 "STANDING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.977479362962963
2 "WALKING" "accelerometer" "body" "NA" "NA" "mean" -0.111571338769944
2 "WALKING" "accelerometer" "body" "NA" "NA" "std" -0.334847472179096
2 "WALKING" "accelerometer" "body" "NA" "jerk" "mean" -0.141730573596751
2 "WALKING" "accelerometer" "body" "NA" "jerk" "std" -0.304294553629661
2 "WALKING" "accelerometer" "body" "magnitude" "NA" "mean" -0.307348510830508
2 "WALKING" "accelerometer" "body" "magnitude" "NA" "std" -0.499824690508475
2 "WALKING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.225244253347458
2 "WALKING" "accelerometer" "body" "magnitude" "jerk" "std" -0.164121477288136
2 "WALKING" "accelerometer" "gravity" "NA" "NA" "mean" 0.217045776836158
2 "WALKING" "accelerometer" "gravity" "NA" "NA" "std" -0.972294309548023
2 "WALKING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.290407593728814
2 "WALKING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.422544169322034
2 "WALKING" "gyroscope" "NA" "NA" "NA" "mean" -0.233262656645056
2 "WALKING" "gyroscope" "NA" "NA" "NA" "std" -0.546341010903955
2 "WALKING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0624024011683616
2 "WALKING" "gyroscope" "NA" "NA" "jerk" "std" -0.486394314971751
2 "WALKING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.488626953813559
2 "WALKING" "gyroscope" "NA" "magnitude" "NA" "std" -0.602406377966102
2 "WALKING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.565580621864407
2 "WALKING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.557951353050847
2 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "NA" "mean" 0.066339403322695
2 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "NA" "std" 0.038742710143617
2 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "jerk" "mean" 0.00810949628677305
2 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "jerk" "std" -0.057246646162766
2 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "NA" "mean" 0.191687973544681
2 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "NA" "std" 0.0970537733585106
2 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "jerk" "mean" 0.11395128646383
2 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "jerk" "std" 0.228548958835106
2 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "NA" "NA" "mean" 0.164054076207092
2 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "NA" "NA" "std" -0.937289532765957
2 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "mean" 0.0899511204978723
2 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "std" 0.215586334889362
2 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "NA" "mean" -0.10313018405
2 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "NA" "std" -0.379517308309929
2 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "jerk" "mean" -0.057091285764539
2 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "jerk" "std" -0.310534537421986
2 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "NA" "mean" -0.241513565241809
2 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "NA" "std" -0.323710432946809
2 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.395523988989362
2 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "std" -0.343443430414894
2 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "NA" "mean" -0.0774266138306597
2 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "NA" "std" -0.10645287658125
2 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "jerk" "mean" -0.147497877785174
2 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "jerk" "std" -0.378262960463889
2 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "NA" "mean" -0.126320609338542
2 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "NA" "std" -0.286352644522917
2 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "jerk" "mean" -0.255390023971875
2 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "jerk" "std" -0.238906616771875
2 "WALKING_UPSTAIRS" "accelerometer" "gravity" "NA" "NA" "mean" 0.0595380964111111
2 "WALKING_UPSTAIRS" "accelerometer" "gravity" "NA" "NA" "std" -0.912059750138889
2 "WALKING_UPSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.107322679520833
2 "WALKING_UPSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "std" -0.205977045295833
2 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "NA" "mean" -0.181545499074653
2 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "NA" "std" -0.370622832227778
2 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "jerk" "mean" -0.0566023063805556
2 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "jerk" "std" -0.525980553958333
2 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "NA" "mean" -0.335162828875
2 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "NA" "std" -0.408076284739583
2 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.586807467395833
2 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "std" -0.609555961041667
3 "LAYING" "accelerometer" "body" "NA" "NA" "mean" -0.459151172802957
3 "LAYING" "accelerometer" "body" "NA" "NA" "std" -0.969931671989247
3 "LAYING" "accelerometer" "body" "NA" "jerk" "mean" -0.473659784225808
3 "LAYING" "accelerometer" "body" "NA" "jerk" "std" -0.978260289301075
3 "LAYING" "accelerometer" "body" "magnitude" "NA" "mean" -0.969157810645161
3 "LAYING" "accelerometer" "body" "magnitude" "NA" "std" -0.966284196935484
3 "LAYING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.977717095645161
3 "LAYING" "accelerometer" "body" "magnitude" "jerk" "std" -0.975713337903226
3 "LAYING" "accelerometer" "gravity" "NA" "NA" "mean" 0.361325602258065
3 "LAYING" "accelerometer" "gravity" "NA" "NA" "std" -0.976174162204301
3 "LAYING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.972791346129032
3 "LAYING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.964218176451613
3 "LAYING" "gyroscope" "NA" "NA" "NA" "mean" -0.477546185805242
3 "LAYING" "gyroscope" "NA" "NA" "NA" "std" -0.972599966370968
3 "LAYING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0692518484569892
3 "LAYING" "gyroscope" "NA" "NA" "jerk" "std" -0.983476555483871
3 "LAYING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.958075738145161
3 "LAYING" "gyroscope" "NA" "magnitude" "NA" "std" -0.954858483387097
3 "LAYING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.985495938225807
3 "LAYING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.982853706854839
3 "SITTING" "accelerometer" "body" "NA" "NA" "mean" -0.437452239550321
3 "SITTING" "accelerometer" "body" "NA" "NA" "std" -0.89805368474359
3 "SITTING" "accelerometer" "body" "NA" "jerk" "mean" -0.471477422459776
3 "SITTING" "accelerometer" "body" "NA" "jerk" "std" -0.968777535224359
3 "SITTING" "accelerometer" "body" "magnitude" "NA" "mean" -0.899784537884615
3 "SITTING" "accelerometer" "body" "magnitude" "NA" "std" -0.872464146057692
3 "SITTING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.967484822307692
3 "SITTING" "accelerometer" "body" "magnitude" "jerk" "std" -0.966559468557692
3 "SITTING" "accelerometer" "gravity" "NA" "NA" "mean" 0.389140982107628
3 "SITTING" "accelerometer" "gravity" "NA" "NA" "std" -0.919661261474359
3 "SITTING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.895383350192308
3 "SITTING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.8703017
3 "SITTING" "gyroscope" "NA" "NA" "NA" "mean" -0.478076378702692
3 "SITTING" "gyroscope" "NA" "NA" "NA" "std" -0.945826542051282
3 "SITTING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0662349579690385
3 "SITTING" "gyroscope" "NA" "NA" "jerk" "std" -0.974978161730769
3 "SITTING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.933009657980769
3 "SITTING" "gyroscope" "NA" "magnitude" "NA" "std" -0.925483866403846
3 "SITTING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.97794807875
3 "SITTING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.976731239326923
3 "STANDING" "accelerometer" "body" "NA" "NA" "mean" -0.440603227230934
3 "STANDING" "accelerometer" "body" "NA" "NA" "std" -0.923129625956284
3 "STANDING" "accelerometer" "body" "NA" "jerk" "mean" -0.465934135739672
3 "STANDING" "accelerometer" "body" "NA" "jerk" "std" -0.958658054754098
3 "STANDING" "accelerometer" "body" "magnitude" "NA" "mean" -0.926199875655738
3 "STANDING" "accelerometer" "body" "magnitude" "NA" "std" -0.918489690081967
3 "STANDING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.953965654016393
3 "STANDING" "accelerometer" "body" "magnitude" "jerk" "std" -0.948488428852459
3 "STANDING" "accelerometer" "gravity" "NA" "NA" "mean" 0.219352918316393
3 "STANDING" "accelerometer" "gravity" "NA" "NA" "std" -0.955869109071038
3 "STANDING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.925430819016393
3 "STANDING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.915143303606557
3 "STANDING" "gyroscope" "NA" "NA" "NA" "mean" -0.46196875932541
3 "STANDING" "gyroscope" "NA" "NA" "NA" "std" -0.914245064480874
3 "STANDING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0627950198786885
3 "STANDING" "gyroscope" "NA" "NA" "jerk" "std" -0.955888134043716
3 "STANDING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.902885855983607
3 "STANDING" "gyroscope" "NA" "magnitude" "NA" "std" -0.882782469754098
3 "STANDING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.961335528770492
3 "STANDING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.957400638688525
3 "WALKING" "accelerometer" "body" "NA" "NA" "mean" -0.110762450613161
3 "WALKING" "accelerometer" "body" "NA" "NA" "std" -0.290664812121552
3 "WALKING" "accelerometer" "body" "NA" "jerk" "mean" -0.145571532883822
3 "WALKING" "accelerometer" "body" "NA" "jerk" "std" -0.281478074740833
3 "WALKING" "accelerometer" "body" "magnitude" "NA" "mean" -0.272360934224138
3 "WALKING" "accelerometer" "body" "magnitude" "NA" "std" -0.392401008706897
3 "WALKING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.233386917189655
3 "WALKING" "accelerometer" "body" "magnitude" "jerk" "std" -0.114884172865172
3 "WALKING" "accelerometer" "gravity" "NA" "NA" "mean" 0.178804173028736
3 "WALKING" "accelerometer" "gravity" "NA" "NA" "std" -0.96407300862069
3 "WALKING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.254690333275862
3 "WALKING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.328428936551724
3 "WALKING" "gyroscope" "NA" "NA" "NA" "mean" -0.239950877543678
3 "WALKING" "gyroscope" "NA" "NA" "NA" "std" -0.557044277212644
3 "WALKING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0614629639185632
3 "WALKING" "gyroscope" "NA" "NA" "jerk" "std" -0.520558350172414
3 "WALKING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.518083763189655
3 "WALKING" "gyroscope" "NA" "magnitude" "NA" "std" -0.597076988103448
3 "WALKING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.586943431982759
3 "WALKING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.558229284396552
3 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "NA" "mean" -0.049565892959898
